undermining	disobey
romanticized	idealize
cynicism	pessimism
annals	journal
cursing	express
revenge	return
distill	better
built	make
therapy	medical_care
lectures	address
burdened	charge
crescendo	volume
noticing	spy
threads	clothing
concentration	property
entertained	socialize
velocity	rate
fellowship	association
diamond	jewel
third	common_fraction
confession	admission
build	bodily_property
wireless	broadcasting
further	promote
lectured	teach
methodology	epistemology
demands	request
powerhouse	actor
tolerate	permit
mixing	combination
areas	region
computerized	supply
stunning	immobilize
spews	expectorate
viewing	display
finds	insight
interdependence	reciprocality
overwritten	write
sloppiness	wetness
preaches	lecture
exuberance	enthusiasm
cube	regular_polyhedron
crisp	snack_food
prejudices	partiality
memoir	autobiography
servitude	bondage
going	act
stacks	large_indefinite_quantity
rough-hewn	hew
shock	stupefaction
impact	contact
reassures	calm
beginnings	happening
uhf	radio_frequency
skeptics	intellectual
attitude	cognition
exalts	praise
treatment	care
average	statistic
compare	likeness
bodies	natural_object
virtues	good
choosing	decide
assailants	wrongdoer
grasp	understanding
composition	placement
wednesday	weekday
hotel	building
term	word
volcano	crack
business	enterprise
transported	move
botching	fail
right	abstraction
possible	possibility
leone	sierra_leone_monetary_unit
shoes	situation
stealing	felony
stage	time_period
taught	inform
bickering	quarrel
stupefying	desensitize
returning	travel
grumble	noise
complicated	change
transporter	truck
maximum	extremum
cynic	unpleasant_person
borrow	get
repelled	push
self-discovery	discovery
desert	biome
spotlight	prominence
finch	oscine
masterpiece	work
concocted	mix
quarter	common_fraction
die	cube
hollywood	film_industry
dig	site
rigor	difficulty
upping	increase
dip	depression
believing	basic_cognitive_process
divisions	army_unit
cues	actor
fears	emotion
cliche	remark
adamant	carbon
self-knowledge	understanding
glinting	look
poignancy	sadness
depravity	immorality
fruition	condition
midst	inside
highway	road
imperfection	state
impair	damage
stray	domestic_animal
static	noise
journey	travel
puzzles	problem
test	experiment
bray	cry
enforcement	social_control
remained	be
conviction	belief
brown	chromatic_color
brat	imp
sermon	address
feast	dinner
misleading	lead
laced	twist
acceptance	attitude
embraced	include
sanctimoniousness	hypocrisy
puzzled	confuse
final	match
expiration	end
deserving	be
distract	confuse
palate	surface
croaks	utterance
embraces	clasp
overwhelmed	arouse
back	body_part
swaying	move_back_and_forth
training	activity
expectation	belief
outdoes	beat
perkiness	cheerfulness
senegalese	african
states	administrative_district
duration	time_period
sheets	expanse
disguising	hide
load	weight
hermitage	dwelling
transfixes	interest
ignore	treat
company	institution
loaf	bread
ruminations	consideration
length	dimension
advert	promotion
expands	grow
grand	large_integer
concerns	interest
schedule	plan
deterioration	decay
overwhelming	arouse
baby	child
clicks	sound
stabs	feeling
grant	aid
choppiness	storminess
showing	display
flip-flop	decision_making
lunch	meal
relic	antiquity
helping	small_indefinite_quantity
construct	idea
attempt	activity
thick	inside
rivalry	group_action
characterizes	remember
stale	make
balance	equilibrium
revealed	show
injected	administer
lock	fastener
misadventures	misfortune
pitch	sound_property
latin	italic
text	matter
fools	simpleton
kindness	good
lying	falsification
frayed	break
fallibility	undependability
framing	conceptualization
flattening	shape
ailments	disorder
being	state
filmed	record
brew	alcohol
yielded	supply
menace	danger
plethora	excess
letdown	dissatisfaction
hoping	wish
curse	profanity
warned	inform
ups	increase
doc	medical_practitioner
dog	canine
status	state
trading	commerce
spawned	cause
nobility	elite
don	gentleman
familiarity	information
curve	line
operates	direct
bags	container
embarrassed	upset
dot	disk
underlines	stroke
stamp	solid
pours	move
3-d	movie
bands	social_group
scattered	separate
abomination	person
silences	condition
government	polity
cult	religion
stream	body_of_water
brit	european
sewer	drain
brio	activeness
dwarf	small_person
crime	transgression
brim	edge
stand	support
disappointments	dissatisfaction
surround	geographical_area
respites	relief
knows	knowing
characterized	remember
dr.	scholar
contraption	device
peaked	reach
forward	basketball_player
catholics	christian
lacks	need
underrated	misjudge
cultivation	socialization
underlined	stress
dulls	change
mail	message
stinging	pain
subject	message
use	activity
trombone	brass
sadness	feeling
main	body_of_water
liked	desire
esteemed	see
strip	part
monopoly	market
weaknesses	imperfection
bilingual	linguist
lungs	respiratory_organ
grain	atom
credit	approval
maid	domestic
likes	kind
combine	harvester
waste	material
cries	utterance
approximation	calculation
motivated	cause
twenty-three	large_integer
concentrates	ore
travesty	comedy
bearing	relatedness
dry	reformer
establishment	beginning
streak	succession
numb	desensitize
labelled	designate
re-creations	creation
wallop	consequence
compass	navigational_instrument
antidote	remedy
bumper	glass
sniffle	breathing
veterans	serviceman
twirls	fold
paradigm	inflection
commended	praise
balk	area
ball	game_equipment
groupies	fan
bale	bundle
smoking	breathing
inventing	create_by_mental_act
bald	turn
transformed	change
make	kind
impetuousness	impulsiveness
categorize	reason
opposed	argue
ready-made	artifact
gamesmanship	unfairness
intensity	magnitude
stake	share
witness	perceiver
dud	failure
fortify	change
freeing	accomplishment
due	right
adaptations	writing
dug	mammary_gland
waking	consciousness
threat	danger
navigates	travel
pumpkin	squash
properties	possession
anime	copal
invention	creativity
taunt	aggravation
fastballs	pitch
boredom	dissatisfaction
inform	communicate
dearth	lack
overwhelms	arouse
stinker	unpleasant_person
crammed	stuff
hogwash	drivel
friendships	relationship
sorrow	sadness
cure	medicine
parsing	analyze
trees	woody_plant
constraints	confinement
observed	spy
rehashes	material
observer	person
hiding	activity
bank	slope
dvd	optical_disk
schmaltz	mawkishness
whining	travel
meaning	message
reassure	calm
brow	feature
bang	blow
drawing	artwork
exoticism	foreignness
palette	scope
band	social_group
orbit	path
mama	mother
interpretations	representation
10	large_integer
11	large_integer
upheaval	disorder
boxes	container
12	large_integer
devaluation	regulation
13	large_integer
15	large_integer
singing	musical_performance
august	gregorian_calendar_month
didacticism	communication
flourishes	gesture
18	large_integer
mall	walk
19	large_integer
allied	consort
benefit	payment
balm	balsam
cracking	noise
labor	class
overpowered	beat
theorizing	expect
sober	change
20	large_integer
male	animal
transporting	move
22	large_integer
25	large_integer
worlds	natural_object
26	large_integer
experiments	scientific_research
scan	examination
scam	swindle
industry	commercial_enterprise
long	desire
uproar	disturbance
ravaging	plundering
cedar	conifer
profane	change
frightening	bullying
freighter	cargo_ship
invites	invitation
relationship	relation
30	large_integer
workers	person
cuts	share
twinkle	change
bother	perturbation
expression	countenance
re-creation	creation
childhood	time_of_life
star	celestial_body
overachieving	do
self-consciousness	embarrassment
eccentricity	unfamiliarity
scarifying	puncture
checklist	list
bundling	courtship
exploiting	use
stay	act
releases	merchandise
debuts	beginning
seduces	persuade
stab	feeling
impostor	deceiver
coasting	glide
inspire	stimulate
impart	tell
switchblade	pocketknife
beginners	unskilled_person
disoriented	confuse
cuss	tormentor
40	large_integer
gadgets	device
seeks	movement
seller	merchant
devote	use
agent	causal_agent
treat	nutriment
starving	privation
woodland	biome
engendering	cause
rapid	waterway
seven	digit
expressing	convey
itinerant	laborer
affectation	pretense
3d	movie
sever	separate
bark	covering
loop	fastener
speck	spot
wood	plant_material
50	large_integer
bare	uncover
barf	body_waste
compromising	agree
bard	poet
riddles	problem
surprise	astonishment
admitted	declare
richness	abundance
sopranos	singer
murderer	criminal
seeds	fruit
sealed	close
invited	arouse
complaints	disorder
look	countenance
troubling	affect
exasperated	anger
grounds	information
achieving	succeed
mrs.	title
scar	symptom
nuts	seed
60	large_integer
eccentric	anomaly
milking	draw
knock	sound
lore	content
stooping	bend
mass	fundamental_quantity
recording	signal
speed	rate
apple	edible_fruit
inquisitiveness	curiosity
admit	declare
common	tract
interest	curiosity
riddled	pierce
adrenalin	catecholamine
bath	vessel
entertains	socialize
twin	sibling
mask	covering
masochism	sexual_pleasure
78	large_integer
winning	success
barbarian	primitive
stew	agitation
jargon	non-standard_speech
predictability	certainty
bars	gymnastic_apparatus
bart	aristocrat
strutting	walk
landing	platform
80	large_integer
separates	article
formula	mathematical_statement
step	maneuver
preteen	juvenile
rapes	mustard
disgust	dislike
mark	evaluation
tribute	approval
base	military_installation
subordinate	assistant
trend	direction
gleaned	gather
underlies	be
schlock	merchandise
thoroughfare	road
brogue	shoe
loss	transferred_property
relate	think
lost	people
90	large_integer
trifling	delay
emphasizing	action
preliminary	athletic_contest
blends	mix
van	artistic_movement
worm	invertebrate
work	activity
dizzy	change
vat	excise
mounts	horse
cattle	bovine
renting	transaction
expanse	scope
lumps	agglomeration
playoff	contest
tragedies	misfortune
tattoo	bugle_call
convince	persuade
struts	gait
irritating	displease
lingers	persist
word	language_unit
broiling	cooking
theory	explanation
love	emotion
extension	delay
gender	grammatical_category
snoots	unpleasant_person
portraying	representational_process
architect	creator
hovering	hesitate
secret	information
foundation	relation
puppies	dog
pillages	stolen_property
partnerships	business
identity	personality
ear	sense_organ
rushed	travel
eat	consume
explosions	discharge
pretends	pretense
reward	consequence
encomia	praise
graze	abrasion
converts	person
juice	foodstuff
gathering	social_group
caricatures	wit
opinion	belief
lots	large_indefinite_quantity
afghani	afghan_monetary_unit
comeuppance	consequence
flashback	transition
banzai	cheer
devotion	love
incarnation	personification
upsetting	touch
indian	amerindian
insult	disrespect
escort	defender
twinkie	sponge_cake
hospitals	medical_building
avarice	mortal_sin
seduced	persuade
formulas	mathematical_statement
existence	state
pretence	artificiality
threshold	beginning
evacuations	removal
maze	system
basketball	court_game
dimming	change_intensity
desolate	leave
subdues	oppress
ramifications	division
snooze	sleeping
chicanery	deception
hunter	skilled_worker
spell	psychological_state
exploration	expedition
slumming	spend
unsettled	upset
lows	air_mass
flim-flam	deceive
squeezed	press
revision	transformation
combustion	oxidation
thrust	force
demeanour	trait
weaves	design
seems	be
honored	recognize
weaver	craftsman
tickets	commercial_document
winter	season
clouds	physical_phenomenon
retina	membrane
walking	locomotion
animations	being
fairness	justice
martyr	victim
grave	death
advantage	asset
underscoring	stress
cloaked	disguise
cuban	west_indian
mordant	coloring_material
imparted	tell
seduce	persuade
winces	facial_expression
self-flagellation	self-punishment
demographics	statistic
exception	omission
reenactment	acting
carpets	floor_cover
hands	guardianship
mayhem	crime
year	time_period
staying	be
cruelties	maltreatment
evoking	make
hollowness	emptiness
ego	pride
ignoring	treat
anguish	distress
themes	message
banged	hit
understanding	knowing
empire	domain
absent	disappear
near	come
silence	condition
fairy	spiritual_being
victims	unfortunate
banger	pork_sausage
ragged	harass
inviting	arouse
instruct	inform
biased	prejudice
snobbery	arrogance
leaps	jump
conundrum	problem
inspired	stimulate
community	gathering
version	interpretation
percolating	trickle
refracting	subject
loony	lunatic
macaroni	dandy
stop	ending
orchard	garden
dishonesty	unrighteousness
avalanches	slide
israeli	asian
inspires	stimulate
adolescence	time_of_life
notch	indentation
convictions	belief
blarney	flattery
subculture	social_group
handguns	firearm
appropriate	assign
rhythms	musical_time
wasabi	herb
taxicab	car
least	matter
hamstrung	torment
evaporates	change_integrity
lactating	feed
swimming	water_sport
submarine	submersible
variations	change
eyeballs	capsule
inmates	resident
columbine	flower
devastated	destroy
orphans	child
themed	supply
excepting	object
representing	equal
loops	fastener
neck	external_body_part
withholds	deny
stunt	feat
characterize	remember
perceptions	representation
scooped	remove
intrusion	entrance
floundering	walk
tearing	bodily_process
leash	restraint
exploit	accomplishment
addressing	communicate
notes	written_record
generates	make
evidence	information
dancers	performer
stud	man
flamboyant	angiospermous_tree
achieves	succeed
garnish	decoration
repellent	compound
ethics	motivation
fling	attempt
suspense	apprehension
spring	season
everyman	commoner
chases	motion
generated	make
leave	time_off
shred	small_indefinite_quantity
serpent	diapsid
faint	loss_of_consciousness
bourgeois	capitalist
spouses	domestic_partner
looseness	symptom
need	condition
elm	tree
collide	conflict
staggered	walk
traditions	content
catalyst	activator
underworld	class
muckraking	exposure
crawling	locomotion
engorged	eat
lasting	measure
private	enlisted_man
boarders	tenant
companion	friend
catsup	condiment
roles	duty
sleeping	sleep
cheering	encouragement
peopled	populate
calamity	misfortune
accomplish	complete
engine	motor
end	extremity
lines	formation
bullet	projectile
packed	encase
extravaganzas	entertainment
lizard	saurian
liner	fly
scum	rabble
bathos	expressive_style
forty	large_integer
cipher	message
pageant	representation
aplomb	composure
preciousness	expensiveness
hippie	reformer
jumpsuit	garment
special	offer
forum	meeting
contempt	dislike
environment	situation
pratfalls	spill
undertaking	work
kicks	blow
achieved	succeed
progressive	tense
rappers	singer
jokes	wit
trier	judge
tries	activity
education	activity
occupation	activity
called	label
springs	season
togetherness	closeness
gangster	criminal
enthusiasts	supporter
turns	curve
apex	extreme_point
bravo	murderer
aspire	plan
tried	act
explode	change_integrity
brave	warrior
narrow	strait
proceedings	due_process
abrasive	material
idiots	simpleton
splitting	change_integrity
fleeting	travel_rapidly
shape	spatial_property
stitched	fasten
allegiance	cooperation
forte	asset
clocks	storksbill
apes	primate
brawn	strength
charming	attract
careens	lurch
singer	musician
persecuted	torment
cell	compartment
believability	quality
self-help	aid
underplays	act
inertia	trait
cribbing	cheat
vacuum	emptiness
asked	communicate
era	time_period
amish	mennonite
transplant	animal_tissue
share	assets
crucifixion	execution
television	broadcasting
dispel	move
throbbing	pulse
sharp	musical_notation
species	taxonomic_group
choreographed	make
uncluttered	change
avant-garde	artistic_movement
melts	heating
disorienting	confuse
flies	space
remade	produce
shake	building_material
navel-gazing	self-absorption
screed	harangue
spice	preservative
finery	attire
screen	surface
chops	physical_phenomenon
mexican	central_american
dwellers	person
trial	attempt
perception	representation
exploitation	use
updating	change
visualize	imagine
tucked	enclose
secretions	organic_process
wimps	weakling
turks	turki
tropes	rhetorical_device
subjected	affect
substitutes	equivalent
woods	vegetation
articulate	supply
one-liners	joke
brass	copper-base_alloy
regalia	gear
breasts	external_body_part
driving	golf_stroke
careers	occupation
traverse	beam
followers	multitude
races	contest
secular	commoner
companionship	friendship
activate	initiate
bungling	fail
strays	domestic_animal
amusement	delight
infatuated	arouse
shame	feeling
malarkey	talk
spied	spy
skateboard	board
angles	space
condescension	arrogance
overdone	make
elderly	age_group
ferocity	intensity
straddles	position
progression	series
dreams	imagination
ensemble	musical_organization
brats	imp
trick	device
light-years	astronomy_unit
pollute	dirty
running	football_play
mugging	assault
righteousness	morality
spies	secret_agent
credits	acknowledgment
boils	staphylococcal_infection
flick	contact
render	stucco
declared	state
endeavor	undertaking
rates	tax
requirement	duty
rolls	rotation
pencil	writing_implement
plots	scheme
rated	evaluate
chord	straight_line
chore	duty
appetite	craving
transpose	matrix
strategy	plan_of_action
forms	word
hiatus	interruption
victories	ending
achievements	action
belgian	european
establishing	open
couch	seat
sequins	adornment
seesawed	play
skills	ability
represented	equal
attractions	force
remorse	sorrow
chemicals	material
shoots	sprout
phonograph	machine
waves	movement
dreaminess	easiness
adolescents	juvenile
remain	be
expected	evaluate
voices	sound
sustenance	food
eye	sense_organ
argues	present
sizzle	noise
envelope	container
glaring	stare
liberating	change_state
barbs	remark
mixer	party
mixes	concoction
envelops	cover
shines	brightness
continent	landmass
feels	awareness
tongue-tied	deprive
disturbance	activity
beguiling	cheat
guarantee	assurance
improvise	perform
enemy	military_unit
stammering	talk
journalists	writer
hindered	prevent
comeback	reply
shiner	bruise
knack	endowment
gray	achromatic_color
tropic	latitude
anguished	suffer
enthusiasms	feeling
diction	articulation
structured	organize
ingredients	component
backbone	support
magician	performer
outtakes	scene
triumph	ending
discovering	spy
horror	fear
newcomers	novice
black	achromatic_color
liberation	accomplishment
sensitivities	sense
showers	plumbing_fixture
recovered	get
classic	creation
splashing	painting
describe	set_forth
suck	consumption
grab	mechanical_device
grad	angular_unit
countenance	appearance
battered	strike
pulchritude	beauty
administration	management
internalized	impute
sterling	money
developing	processing
remains	object
dwell	worry
incorporate	compound
cocoon	natural_object
refreshes	remember
features	property
wallowing	indulge
white	person
counterpart	equivalent
menacing	exist
shimmers	change
seeming	be
commercialism	transaction
might	strength
duplicate	artifact
sharing	mutuality
expressions	countenance
unbridled	get_rid_of
limps	gait
servants	worker
wonders	astonishment
museum	depository
trumpet	brass
leads	advantage
solemnity	seriousness
installment	payment
orbits	path
clothing	consumer_goods
jostles	shove
import	commodity
classes	collection
lowbrow	plebeian
snatch	fragment
conclusion	judgment
central	workplace
daunting	intimidate
trademark	characteristic
heralds	messenger
backyard	yard
cashing	exchange
supporting	activity
memorial	recognition
factor	cause
undoing	about-face
derived	reason
news	information
greek	indo-european
frissons	fear
griffin	mythical_monster
green	chromatic_color
clotted	change_state
refreshed	remember
race	contest
wan	computer_network
war	military_action
remake	creation
derives	reason
grew	change
realization	understanding
way	property
bothered	strive
clear-cut	clear
sensation	perception
summons	invitation
african	person
angelique	herb
window	framework
attempted	act
play	dramatic_composition
disciplined	develop
fad	fashion
pleaser	entertainer
insurrection	conflict
issues	content
fan	device
posturing	conceit
oomph	attractiveness
stuck	fasten
prostitute	woman
titans	important_person
fat	lipid
greed	desire
baffled	people
fax	duplicator
plan	idea
reassembled	assemble
double	base_hit
suicide	killing
bewildered	confuse
rendering	performance
naturalness	quality
suit	garment
chocolate	beverage
denial	speech_act
study	examination
widget	stuff
differences	quality
irish	nation
second-guess	predict
melds	rummy
gain	indefinite_quantity
engross	concentrate
supermarket	grocery_store
leaks	hole
receiving	get
web	object
memories	representation
feeds	food
physician	medical_practitioner
stardom	high_status
relieved	better
honeys	sweetening
grin	facial_expression
conduits	passage
wen	cyst
castles	mansion
grip	grasping
explore	investigate
befuddled	be
grit	sandstone
wet	wetness
climate	environmental_condition
eyelids	protective_fold
aisles	passage
great	achiever
staggering	walk
wanton	sensualist
discoveries	act
gags	wit
pleased	satisfy
rage	anger
behold	see
sides	region
unburdened	take
organizing	make
stuff	substance
wondered	question
dick	detective
booking	employment
donna	woman
monkey	primate
heist	robbery
distinction	discrimination
arrest	capture
intelligentsia	elite
section	music
discontent	longing
rumor	gossip
looks	countenance
psychedelia	subculture
provoke	make
presented	show
few	elite
highways	road
snacks	meal
plods	walk
strain	deformation
rain	precipitation
laugher	person
rail	barrier
laughed	express_emotion
victimized	wrong
sunk	change_posture
winded	travel
plea	entreaty
sung	dynasty
exceptions	omission
produced	make
voyage	water_travel
viewers	audience
sledgehammer	hammer
chokes	coil
gait	rate
revisited	return
outside	region
effect	phenomenon
misogynist	misanthrope
explaining	inform
produces	food
producer	maker
topic	message
hunk	man
inhale	smoke
sugar	sweetening
who	united_nations_agency
option	derivative_instrument
politics	social_relation
popping	sound
game	activity
revisiting	return
pathology	medical_science
unveil	uncover
contribute	change
why	reason
faith	belief
letterman	athlete
founders	inflammation
died	change_state
microscope	magnifier
integrated	compound
candidate	politician
